source_ip,destination_ip,protocol,packet_size,inter_arrival_time_ms,jitter_ms,qos_class
192.168.187.205,192.0.2.91,TCP,278,27.53,1.06,URLLC
192.168.83.71,192.0.2.32,ICMP,353,147.2,2.66,mMTC
192.168.157.92,192.0.2.44,ICMP,381,14.29,3.14,URLLC
192.168.183.32,192.0.2.73,UDP,1409,48.91,7.46,eMBB
192.168.39.115,192.0.2.179,UDP,246,25.61,2.66,URLLC
192.168.143.125,192.0.2.203,ICMP,340,80.65,4.95,mMTC
192.168.153.240,192.0.2.15,TCP,923,55.42,7.18,eMBB
192.168.232.124,192.0.2.25,UDP,1299,16.99,2.49,URLLC
192.168.150.128,192.0.2.173,TCP,1046,57.0,6.71,eMBB
192.168.14.137,192.0.2.153,TCP,719,102.51,5.84,mMTC
192.168.224.186,192.0.2.214,TCP,319,68.44,4.48,mMTC
192.168.165.91,192.0.2.248,UDP,1371,54.67,6.08,eMBB
192.168.206.170,192.0.2.92,ICMP,361,18.17,3.35,URLLC
192.168.182.42,192.0.2.213,UDP,1113,49.72,7.85,eMBB
192.168.250.106,192.0.2.66,ICMP,1296,58.88,3.48,eMBB
192.168.210.44,192.0.2.159,TCP,1142,36.04,7.09,eMBB
192.168.163.161,192.0.2.217,UDP,1399,21.64,3.78,URLLC
192.168.29.216,192.0.2.6,ICMP,340,91.32,1.0,mMTC
192.168.88.178,192.0.2.241,UDP,935,55.91,6.27,eMBB
192.168.161.201,192.0.2.133,UDP,285,23.23,2.7,URLLC
192.168.208.96,192.0.2.10,TCP,1081,22.31,2.3,URLLC
192.168.27.217,192.0.2.130,TCP,1231,38.17,3.9,eMBB
192.168.231.221,192.0.2.47,ICMP,993,72.94,5.55,eMBB
192.168.114.173,192.0.2.251,ICMP,1013,54.78,5.79,eMBB
192.168.230.5,192.0.2.226,ICMP,208,131.3,4.59,mMTC
192.168.214.162,192.0.2.35,ICMP,961,70.12,7.88,eMBB
192.168.116.116,192.0.2.176,UDP,1075,57.8,1.98,eMBB
192.168.225.16,192.0.2.98,ICMP,770,128.52,3.1,mMTC
192.168.233.106,192.0.2.108,UDP,1387,51.15,3.24,eMBB
192.168.30.178,192.0.2.63,UDP,1346,4.97,2.81,URLLC
192.168.89.109,192.0.2.211,UDP,369,110.02,4.03,mMTC
192.168.21.195,192.0.2.152,TCP,1062,48.05,6.66,eMBB
192.168.6.190,192.0.2.235,ICMP,380,11.14,3.05,URLLC
192.168.220.228,192.0.2.58,UDP,246,13.32,4.77,URLLC
192.168.122.93,192.0.2.188,TCP,1308,20.07,2.59,URLLC
192.168.109.162,192.0.2.233,UDP,1342,51.77,6.83,eMBB
